ad_date,campaign_id,campaign_name,channel,platform,impressions,clicks,spend_usd,source_updated_at
2026-01-11,PS_COMPETITOR,Competitor Search,Paid Search,Microsoft Ads,2612,75,223.61,2026-01-12 06:00:00
2026-01-11,PAID_SOCIAL,Prospecting Social,Paid Social,Meta Ads,6032,69,118.1,2026-01-12 06:00:00
2026-01-12,PS_BRAND,Brand Search,Paid Search,Google Ads,4297,377,475.46,2026-01-13 06:00:00
2026-01-12,PS_GENERIC,Generic Search,Paid Search,Google Ads,7305,305,812.78,2026-01-13 06:00:00
2026-01-12,PS_COMPETITOR,Competitor Search,Paid Search,Microsoft Ads,2991,101,249.73,2026-01-13 06:00:00
2026-01-12,PAID_SOCIAL,Prospecting Social,Paid Social,Meta Ads,8344,130,231.21,2026-01-13 06:00:00
2026-01-13,PS_BRAND,Brand Search,Paid Search,Google Ads,4394,362,488.36,2026-01-14 06:00:00
2026-01-13,PS_GENERIC,Generic Search,Paid Search,Google Ads,7840,310,805.8,2026-01-14 06:00:00
2026-01-13,PS_COMPETITOR,Competitor Search,Paid Search,Microsoft Ads,2699,82,203.66,2026-01-14 06:00:00
2026-01-13,PAID_SOCIAL,Prospecting Social,Paid Social,Meta Ads,8046,84,121.28,2026-01-14 06:00:00
2026-01-14,PS_BRAND,Brand Search,Paid Search,Google Ads,5442,464,622.57,2026-01-15 06:00:00
2026-01-14,PS_GENERIC,Generic Search,Paid Search,Google Ads,6919,257,637.14,2026-01-15 06:00:00
2026-01-14,PS_COMPETITOR,Competitor Search,Paid Search,Microsoft Ads,2743,64,190.25,2026-01-15 06:00:00
2026-01-14,PAID_SOCIAL,Prospecting Social,Paid Social,Meta Ads,7693,111,173.34,2026-01-15 06:00:00
2026-01-15,PS_BRAND,Brand Search,Paid Search,Google Ads,5663,463,668.26,2026-01-16 06:00:00
2026-01-15,PS_GENERIC,Generic Search,Paid Search,Google Ads,6974,268,618.71,2026-01-16 06:00:00
2026-01-15,PS_COMPETITOR,Competitor Search,Paid Search,Microsoft Ads,2852,85,208.71,2026-01-16 06:00:00
2026-01-15,PAID_SOCIAL,Prospecting Social,Paid Social,Meta Ads,7337,104,174.31,2026-01-16 06:00:00
2026-01-16,PS_BRAND,Brand Search,Paid Search,Google Ads,4938,395,541.01,2026-01-17 06:00:00
2026-01-16,PS_GENERIC,Generic Search,Paid Search,Google Ads,7346,291,609.24,2026-01-17 06:00:00
2026-01-16,PS_COMPETITOR,Competitor Search,Paid Search,Microsoft Ads,2816,78,206.29,2026-01-17 06:00:00
2026-01-16,PAID_SOCIAL,Prospecting Social,Paid Social,Meta Ads,7940,109,172.93,2026-01-17 06:00:00
2026-01-17,PS_BRAND,Brand Search,Paid Search,Google Ads,3928,323,442.4,2026-01-18 06:00:00
2026-01-17,PS_GENERIC,Generic Search,Paid Search,Google Ads,6535,284,682.34,2026-01-18 06:00:00
2026-01-17,PS_COMPETITOR,Competitor Search,Paid Search,Microsoft Ads,2571,94,290.97,2026-01-18 06:00:00
2026-01-17,PAID_SOCIAL,Prospecting Social,Paid Social,Meta Ads,8134,119,198.45,2026-01-18 06:00:00
2026-01-18,PS_BRAND,Brand Search,Paid Search,Google Ads,4172,331,439.18,2026-01-19 06:00:00
2026-01-18,PS_GENERIC,Generic Search,Paid Search,Google Ads,6056,241,630.6,2026-01-19 06:00:00
2026-01-18,PS_COMPETITOR,Competitor Search,Paid Search,Microsoft Ads,2151,63,184.77,2026-01-19 06:00:00
2026-01-18,PAID_SOCIAL,Prospecting Social,Paid Social,Meta Ads,7512,107,178.85,2026-01-19 06:00:00
2026-01-19,PS_BRAND,Brand Search,Paid Search,Google Ads,4545,372,531.88,2026-01-20 06:00:00
2026-01-19,PS_GENERIC,Generic Search,Paid Search,Google Ads,6659,248,593.93,2026-01-20 06:00:00
2026-01-19,PS_COMPETITOR,Competitor Search,Paid Search,Microsoft Ads,3203,113,316.64,2026-01-20 06:00:00
2026-01-19,PAID_SOCIAL,Prospecting Social,Paid Social,Meta Ads,9408,143,238.08,2026-01-20 06:00:00
2026-01-20,PS_BRAND,Brand Search,Paid Search,Google Ads,4649,380,508.78,2026-01-21 06:00:00
2026-01-20,PS_GENERIC,Generic Search,Paid Search,Google Ads,7717,272,695.54,2026-01-21 06:00:00
2026-01-20,PS_COMPETITOR,Competitor Search,Paid Search,Microsoft Ads,3022,80,230.13,2026-01-21 06:00:00
2026-01-20,PAID_SOCIAL,Prospecting Social,Paid Social,Meta Ads,9552,142,226.78,2026-01-21 06:00:00
2026-01-21,PS_BRAND,Brand Search,Paid Search,Google Ads,4141,306,417.2,2026-01-22 06:00:00
2026-01-21,PS_GENERIC,Generic Search,Paid Search,Google Ads,7199,283,605.91,2026-01-22 06:00:00
2026-01-21,PS_COMPETITOR,Competitor Search,Paid Search,Microsoft Ads,2651,83,223.52,2026-01-22 06:00:00
2026-01-21,PAID_SOCIAL,Prospecting Social,Paid Social,Meta Ads,7946,113,208.48,2026-01-22 06:00:00
2026-01-22,PS_BRAND,Brand Search,Paid Search,Google Ads,4652,403,564.01,2026-01-23 06:00:00
2026-01-22,PS_GENERIC,Generic Search,Paid Search,Google Ads,6931,275,673.97,2026-01-23 06:00:00
2026-01-22,PS_COMPETITOR,Competitor Search,Paid Search,Microsoft Ads,3110,98,294.51,2026-01-23 06:00:00
2026-01-22,PAID_SOCIAL,Prospecting Social,Paid Social,Meta Ads,8537,103,159.9,2026-01-23 06:00:00
2026-01-23,PS_BRAND,Brand Search,Paid Search,Google Ads,4908,394,559.63,2026-01-24 06:00:00
2026-01-23,PS_GENERIC,Generic Search,Paid Search,Google Ads,6797,279,685.39,2026-01-24 06:00:00
2026-01-23,PS_COMPETITOR,Competitor Search,Paid Search,Microsoft Ads,3162,100,256.41,2026-01-24 06:00:00
2026-01-23,PAID_SOCIAL,Prospecting Social,Paid Social,Meta Ads,8277,116,197.78,2026-01-24 06:00:00
2026-01-24,PS_BRAND,Brand Search,Paid Search,Google Ads,3737,313,422.95,2026-01-25 06:00:00
2026-01-24,PS_GENERIC,Generic Search,Paid Search,Google Ads,5086,190,470.51,2026-01-25 06:00:00
2026-01-24,PS_COMPETITOR,Competitor Search,Paid Search,Microsoft Ads,2252,75,222.64,2026-01-25 06:00:00
2026-01-24,PAID_SOCIAL,Prospecting Social,Paid Social,Meta Ads,7234,105,180.5,2026-01-25 06:00:00
2026-01-25,PS_BRAND,Brand Search,Paid Search,Google Ads,3193,275,386.42,2026-01-26 06:00:00
2026-01-25,PS_GENERIC,Generic Search,Paid Search,Google Ads,5179,205,510.36,2026-01-26 06:00:00
2026-01-25,PS_COMPETITOR,Competitor Search,Paid Search,Microsoft Ads,2390,73,189.72,2026-01-26 06:00:00
2026-01-25,PAID_SOCIAL,Prospecting Social,Paid Social,Meta Ads,7348,109,192.14,2026-01-26 06:00:00
