session_id,visitor_id,session_ts,campaign_id,utm_source,utm_medium,utm_campaign,click_id,landing_page,device_category,tracked_trial_event,source_updated_at
ses_00000183,vis_00000183,2026-01-01 07:11:16,PS_BRAND,google,cpc,brand_search,gclid_0000000183,/search,mobile,False,2026-01-02 06:00:00
ses_00000350,vis_00000350,2026-01-01 07:11:17,PS_GENERIC,google,cpc,generic_search,gclid_0000000350,/people-search,mobile,False,2026-01-02 06:00:00
ses_00000356,vis_00000356,2026-01-01 07:11:31,PS_GENERIC,google,cpc,generic_search,gclid_0000000356,/people-search,mobile,False,2026-01-02 06:00:00
ses_00000064,vis_00000064,2026-01-01 07:11:42,PS_BRAND,google,cpc,brand_search,gclid_0000000064,/search,mobile,False,2026-01-02 06:00:00
ses_00000547,vis_00000547,2026-01-01 07:12:34,PS_COMPETITOR,bing,cpc,competitor_search,msclkid_0000000547,/compare,mobile,False,2026-01-02 06:00:00
ses_00000506,vis_00000506,2026-01-01 07:12:41,PS_GENERIC,google,cpc,generic_search,gclid_0000000506,/people-search,desktop,False,2026-01-02 06:00:00
ses_00000361,vis_00000361,2026-01-01 07:13:29,PS_GENERIC,google,cpc,generic_search,gclid_0000000361,/people-search,mobile,False,2026-01-02 06:00:00
ses_00000604,vis_00000604,2026-01-01 07:16:18,PAID_SOCIAL,meta,paid_social,prospecting_social,fbclid_0000000604,/discover,mobile,False,2026-01-02 06:00:00
ses_00000136,vis_00000136,2026-01-01 07:16:26,PS_BRAND,google,cpc,brand_search,gclid_0000000136,/search,tablet,False,2026-01-02 06:00:00
ses_00000528,vis_00000528,2026-01-01 07:19:22,PS_COMPETITOR,bing,cpc,competitor_search,msclkid_0000000528,/compare,mobile,False,2026-01-02 06:00:00
ses_00000451,vis_00000451,2026-01-01 07:20:14,PS_GENERIC,google,cpc,generic_search,gclid_0000000451,/people-search,mobile,False,2026-01-02 06:00:00
ses_00000005,vis_00000005,2026-01-01 07:20:16,PS_BRAND,google,cpc,brand_search,gclid_0000000005,/search,desktop,False,2026-01-02 06:00:00
ses_00000135,vis_00000135,2026-01-01 07:20:20,PS_BRAND,google,cpc,brand_search,gclid_0000000135,/search,tablet,False,2026-01-02 06:00:00
ses_00000017,vis_00000017,2026-01-01 07:23:09,PS_BRAND,google,cpc,brand_search,gclid_0000000017,/search,mobile,False,2026-01-02 06:00:00
ses_00000165,vis_00000165,2026-01-01 07:23:26,PS_BRAND,google,cpc,brand_search,gclid_0000000165,/search,desktop,False,2026-01-02 06:00:00
ses_00000028,vis_00000028,2026-01-01 07:24:08,PS_BRAND,google,cpc,brand_search,gclid_0000000028,/search,desktop,False,2026-01-02 06:00:00
ses_00000508,vis_00000508,2026-01-01 07:24:29,PS_GENERIC,google,cpc,generic_search,gclid_0000000508,/people-search,mobile,False,2026-01-02 06:00:00
ses_00000527,vis_00000527,2026-01-01 07:25:51,PS_COMPETITOR,bing,cpc,competitor_search,msclkid_0000000527,/compare,mobile,False,2026-01-02 06:00:00
ses_00000063,vis_00000063,2026-01-01 07:26:21,PS_BRAND,google,cpc,brand_search,gclid_0000000063,/search,mobile,False,2026-01-02 06:00:00
ses_00000509,vis_00000509,2026-01-01 07:27:49,PS_GENERIC,google,cpc,generic_search,gclid_0000000509,/people-search,mobile,False,2026-01-02 06:00:00
ses_00000187,vis_00000187,2026-01-01 07:27:51,PS_BRAND,google,cpc,brand_search,gclid_0000000187,/search,mobile,False,2026-01-02 06:00:00
ses_00000427,vis_00000427,2026-01-01 07:29:18,PS_GENERIC,google,cpc,generic_search,gclid_0000000427,/people-search,mobile,False,2026-01-02 06:00:00
ses_00000394,vis_00000394,2026-01-01 07:29:32,PS_GENERIC,google,cpc,generic_search,gclid_0000000394,/people-search,desktop,False,2026-01-02 06:00:00
ses_00000515,vis_00000515,2026-01-01 07:30:40,PS_GENERIC,google,cpc,generic_search,gclid_0000000515,/people-search,mobile,False,2026-01-02 06:00:00
ses_00000107,vis_00000107,2026-01-01 07:32:11,PS_BRAND,google,cpc,brand_search,gclid_0000000107,/search,mobile,True,2026-01-02 06:00:00
ses_00000462,vis_00000462,2026-01-01 07:35:12,PS_GENERIC,google,cpc,generic_search,gclid_0000000462,/people-search,mobile,False,2026-01-02 06:00:00
ses_00000624,vis_00000624,2026-01-01 07:35:57,PAID_SOCIAL,meta,paid_social,prospecting_social,fbclid_0000000624,/discover,mobile,False,2026-01-02 06:00:00
ses_00135864,vis_00135864,2026-01-01 07:39:05,,,,,,/search,mobile,False,2026-01-02 06:00:00
ses_00000331,vis_00000331,2026-01-01 07:40:07,PS_GENERIC,google,cpc,generic_search,gclid_0000000331,/people-search,mobile,False,2026-01-02 06:00:00
ses_00000206,vis_00000206,2026-01-01 07:40:48,PS_BRAND,google,cpc,brand_search,gclid_0000000206,/search,mobile,False,2026-01-02 06:00:00
ses_00000362,vis_00000362,2026-01-01 07:41:03,PS_GENERIC,google,cpc,generic_search,gclid_0000000362,/people-search,desktop,False,2026-01-02 06:00:00
ses_00000039,vis_00000039,2026-01-01 07:42:06,PS_BRAND,google,cpc,brand_search,gclid_0000000039,/search,mobile,False,2026-01-02 06:00:00
ses_00000666,vis_00000666,2026-01-01 07:42:36,PAID_SOCIAL,meta,paid_social,prospecting_social,fbclid_0000000666,/discover,mobile,False,2026-01-02 06:00:00
ses_00000095,vis_00000095,2026-01-01 07:43:11,PS_BRAND,google,cpc,brand_search,gclid_0000000095,/search,mobile,False,2026-01-02 06:00:00
ses_00000643,vis_00000643,2026-01-01 07:44:53,PAID_SOCIAL,meta,paid_social,prospecting_social,fbclid_0000000643,/discover,mobile,False,2026-01-02 06:00:00
ses_00000632,vis_00000632,2026-01-01 07:45:48,PAID_SOCIAL,meta,paid_social,prospecting_social,fbclid_0000000632,/discover,tablet,False,2026-01-02 06:00:00
ses_00000381,vis_00000381,2026-01-01 07:46:48,PS_GENERIC,google,cpc,generic_search,gclid_0000000381,/people-search,desktop,False,2026-01-02 06:00:00
ses_00000400,vis_00000400,2026-01-01 07:46:59,PS_GENERIC,google,cpc,generic_search,gclid_0000000400,/people-search,tablet,False,2026-01-02 06:00:00
ses_00000339,vis_00000339,2026-01-01 07:47:02,PS_GENERIC,google,cpc,generic_search,gclid_0000000339,/people-search,mobile,False,2026-01-02 06:00:00
ses_00000010,vis_00000010,2026-01-01 07:47:25,PS_BRAND,google,cpc,brand_search,gclid_0000000010,/search,mobile,False,2026-01-02 06:00:00
ses_00000347,vis_00000347,2026-01-01 07:48:05,PS_GENERIC,google,cpc,generic_search,gclid_0000000347,/people-search,mobile,False,2026-01-02 06:00:00
ses_00000552,vis_00000552,2026-01-01 07:48:09,PS_COMPETITOR,bing,cpc,competitor_search,msclkid_0000000552,/compare,mobile,False,2026-01-02 06:00:00
ses_00000218,vis_00000218,2026-01-01 07:50:01,PS_BRAND,google,cpc,brand_search,gclid_0000000218,/search,mobile,False,2026-01-02 06:00:00
ses_00000603,vis_00000603,2026-01-01 07:51:03,PAID_SOCIAL,meta,paid_social,prospecting_social,fbclid_0000000603,/discover,mobile,False,2026-01-02 06:00:00
ses_00000112,vis_00000112,2026-01-01 07:51:59,PS_BRAND,google,cpc,brand_search,gclid_0000000112,/search,desktop,False,2026-01-02 06:00:00
ses_00000110,vis_00000110,2026-01-01 07:53:21,PS_BRAND,google,cpc,brand_search,gclid_0000000110,/search,desktop,False,2026-01-02 06:00:00
ses_00000025,vis_00000025,2026-01-01 07:54:43,PS_BRAND,google,cpc,brand_search,gclid_0000000025,/search,desktop,False,2026-01-02 06:00:00
ses_00000271,vis_00000271,2026-01-01 07:55:49,PS_BRAND,google,cpc,brand_search,gclid_0000000271,/search,desktop,False,2026-01-02 06:00:00
ses_00000248,vis_00000248,2026-01-01 07:56:22,PS_BRAND,google,cpc,brand_search,gclid_0000000248,/search,mobile,True,2026-01-02 06:00:00
ses_00000052,vis_00000052,2026-01-01 07:56:43,PS_BRAND,google,cpc,brand_search,gclid_0000000052,/search,desktop,True,2026-01-02 06:00:00
ses_00135925,vis_00135925,2026-01-01 07:56:43,,,,,,/account,desktop,False,2026-01-02 06:00:00
ses_00000374,vis_00000374,2026-01-01 07:58:22,PS_GENERIC,google,cpc,generic_search,gclid_0000000374,/people-search,desktop,False,2026-01-02 06:00:00
ses_00000070,vis_00000070,2026-01-01 07:58:57,PS_BRAND,google,cpc,brand_search,gclid_0000000070,/search,mobile,False,2026-01-02 06:00:00
ses_00135914,vis_00135914,2026-01-01 08:01:57,,,,,,/search,mobile,False,2026-01-02 06:00:00
ses_00000037,vis_00000037,2026-01-01 08:02:01,PS_BRAND,google,cpc,brand_search,gclid_0000000037,/search,desktop,False,2026-01-02 06:00:00
ses_00000337,vis_00000337,2026-01-01 08:02:32,PS_GENERIC,google,cpc,generic_search,gclid_0000000337,/people-search,mobile,False,2026-01-02 06:00:00
ses_00000572,vis_00000572,2026-01-01 08:03:22,PS_COMPETITOR,bing,cpc,competitor_search,msclkid_0000000572,/compare,mobile,False,2026-01-02 06:00:00
ses_00000009,vis_00000009,2026-01-01 08:06:20,PS_BRAND,google,cpc,brand_search,gclid_0000000009,/search,desktop,True,2026-01-02 06:00:00
ses_00000566,vis_00000566,2026-01-01 08:06:33,PS_COMPETITOR,bing,cpc,competitor_search,msclkid_0000000566,/compare,mobile,False,2026-01-02 06:00:00
ses_00135910,vis_00135910,2026-01-01 08:07:21,,,,,,/,mobile,True,2026-01-02 06:00:00
ses_00000155,vis_00000155,2026-01-01 08:09:04,PS_BRAND,google,cpc,brand_search,gclid_0000000155,/search,mobile,False,2026-01-02 06:00:00
ses_00000310,vis_00000310,2026-01-01 08:09:56,PS_GENERIC,google,cpc,generic_search,gclid_0000000310,/people-search,mobile,False,2026-01-02 06:00:00
ses_00135890,vis_00135890,2026-01-01 08:10:11,,,,,,/,desktop,True,2026-01-02 06:00:00
ses_00000040,vis_00000040,2026-01-01 08:10:16,PS_BRAND,google,cpc,brand_search,gclid_0000000040,/search,mobile,True,2026-01-02 06:00:00
ses_00000216,vis_00000216,2026-01-01 08:11:40,PS_BRAND,google,cpc,brand_search,gclid_0000000216,/search,mobile,False,2026-01-02 06:00:00
ses_00000225,vis_00000225,2026-01-01 08:12:21,PS_BRAND,google,cpc,brand_search,gclid_0000000225,/search,tablet,False,2026-01-02 06:00:00
ses_00000171,vis_00000171,2026-01-01 08:15:02,PS_BRAND,google,cpc,brand_search,gclid_0000000171,/search,mobile,False,2026-01-02 06:00:00
ses_00000077,vis_00000077,2026-01-01 08:15:59,PS_BRAND,google,cpc,brand_search,gclid_0000000077,/search,desktop,False,2026-01-02 06:00:00
ses_00000100,vis_00000100,2026-01-01 08:16:28,PS_BRAND,google,cpc,brand_search,gclid_0000000100,/search,mobile,False,2026-01-02 06:00:00
ses_00000224,vis_00000224,2026-01-01 08:18:47,PS_BRAND,google,cpc,brand_search,gclid_0000000224,/search,desktop,False,2026-01-02 06:00:00
ses_00000502,vis_00000502,2026-01-01 08:20:22,PS_GENERIC,google,cpc,generic_search,gclid_0000000502,/people-search,desktop,False,2026-01-02 06:00:00
ses_00000411,vis_00000411,2026-01-01 08:21:00,PS_GENERIC,google,cpc,generic_search,gclid_0000000411,/people-search,mobile,False,2026-01-02 06:00:00
ses_00000087,vis_00000087,2026-01-01 08:21:29,PS_BRAND,google,cpc,brand_search,gclid_0000000087,/search,desktop,False,2026-01-02 06:00:00
ses_00000156,vis_00000156,2026-01-01 08:22:26,PS_BRAND,google,cpc,brand_search,gclid_0000000156,/search,desktop,False,2026-01-02 06:00:00
ses_00000544,vis_00000544,2026-01-01 08:24:32,PS_COMPETITOR,bing,cpc,competitor_search,msclkid_0000000544,/compare,desktop,False,2026-01-02 06:00:00
ses_00000093,vis_00000093,2026-01-01 08:24:46,PS_BRAND,google,cpc,brand_search,gclid_0000000093,/search,tablet,False,2026-01-02 06:00:00
ses_00000181,vis_00000181,2026-01-01 08:28:52,PS_BRAND,google,cpc,brand_search,gclid_0000000181,/search,mobile,False,2026-01-02 06:00:00
ses_00000612,vis_00000612,2026-01-01 08:30:37,PAID_SOCIAL,meta,paid_social,prospecting_social,fbclid_0000000612,/discover,mobile,False,2026-01-02 06:00:00
ses_00135882,vis_00135882,2026-01-01 08:32:10,,,,,,/,desktop,False,2026-01-02 06:00:00
ses_00000335,vis_00000335,2026-01-01 08:37:14,PS_GENERIC,google,cpc,generic_search,gclid_0000000335,/people-search,mobile,False,2026-01-02 06:00:00
ses_00000393,vis_00000393,2026-01-01 08:37:19,PS_GENERIC,google,cpc,generic_search,gclid_0000000393,/people-search,desktop,False,2026-01-02 06:00:00
ses_00000153,vis_00000153,2026-01-01 08:37:20,PS_BRAND,google,cpc,brand_search,gclid_0000000153,/search,desktop,True,2026-01-02 06:00:00
ses_00000449,vis_00000449,2026-01-01 08:39:03,PS_GENERIC,google,cpc,generic_search,gclid_0000000449,/people-search,desktop,False,2026-01-02 06:00:00
ses_00000479,vis_00000479,2026-01-01 08:39:04,PS_GENERIC,google,cpc,generic_search,gclid_0000000479,/people-search,desktop,False,2026-01-02 06:00:00
