billing_event_id,subscription_id,event_ts,event_type,billing_cycle_number,event_status,gross_amount_usd,discount_amount_usd,refund_amount_usd,chargeback_amount_usd,net_amount_usd,source_updated_at
bill_00000055,sub_0000042,2026-01-08 12:39:27,charge,1.0,succeeded,34.95,0.0,0.0,0.0,34.95,2026-01-09 06:00:00
bill_00000059,sub_0000001,2026-01-08 12:44:49,charge,1.0,failed,34.95,0.0,0.0,0.0,0.0,2026-01-09 06:00:00
bill_00000060,sub_0000033,2026-01-08 13:26:29,charge,1.0,succeeded,24.95,2.5,0.0,0.0,22.45,2026-01-09 06:00:00
bill_00000061,sub_0000078,2026-01-08 13:27:53,charge,1.0,succeeded,24.95,0.0,0.0,0.0,24.95,2026-01-09 06:00:00
bill_00000064,sub_0000045,2026-01-08 13:45:51,charge,1.0,succeeded,24.95,0.0,0.0,0.0,24.95,2026-01-09 06:00:00
bill_00000066,sub_0000040,2026-01-08 14:26:56,charge,1.0,succeeded,34.95,0.0,0.0,0.0,34.95,2026-01-09 06:00:00
bill_00000074,sub_0000081,2026-01-08 15:32:02,charge,1.0,succeeded,24.95,2.5,0.0,0.0,22.45,2026-01-09 06:00:00
bill_00000075,sub_0000031,2026-01-08 15:34:10,charge,1.0,succeeded,24.95,0.0,0.0,0.0,24.95,2026-01-09 06:00:00
bill_00000076,sub_0000067,2026-01-08 15:35:15,charge,1.0,succeeded,24.95,0.0,0.0,0.0,24.95,2026-01-09 06:00:00
bill_00000084,sub_0000071,2026-01-08 16:30:34,charge,1.0,succeeded,24.95,0.0,0.0,0.0,24.95,2026-01-09 06:00:00
bill_00000086,sub_0000013,2026-01-08 17:12:38,charge,1.0,failed,24.95,0.0,0.0,0.0,0.0,2026-01-09 06:00:00
bill_00000087,sub_0000010,2026-01-08 17:26:47,charge,1.0,succeeded,34.95,0.0,0.0,0.0,34.95,2026-01-09 06:00:00
bill_00000092,sub_0000060,2026-01-08 17:43:16,charge,1.0,succeeded,24.95,0.0,0.0,0.0,24.95,2026-01-09 06:00:00
bill_00000098,sub_0000009,2026-01-08 18:20:19,charge,1.0,succeeded,24.95,0.0,0.0,0.0,24.95,2026-01-09 06:00:00
bill_00000105,sub_0000015,2026-01-08 18:42:59,charge,1.0,succeeded,24.95,0.0,0.0,0.0,24.95,2026-01-09 06:00:00
bill_00000106,sub_0000025,2026-01-08 19:14:06,charge,1.0,succeeded,24.95,0.0,0.0,0.0,24.95,2026-01-09 06:00:00
bill_00000112,sub_0000023,2026-01-08 20:21:27,charge,1.0,succeeded,34.95,0.0,0.0,0.0,34.95,2026-01-09 06:00:00
bill_00000119,sub_0000051,2026-01-08 20:44:33,charge,1.0,failed,34.95,0.0,0.0,0.0,0.0,2026-01-09 06:00:00
bill_00000120,sub_0000048,2026-01-08 20:46:55,charge,1.0,succeeded,24.95,0.0,0.0,0.0,24.95,2026-01-09 06:00:00
bill_00000123,sub_0000007,2026-01-08 21:00:15,charge,1.0,failed,34.95,0.0,0.0,0.0,0.0,2026-01-09 06:00:00
bill_00000124,sub_0000004,2026-01-08 21:00:51,charge,1.0,succeeded,24.95,0.0,0.0,0.0,24.95,2026-01-09 06:00:00
bill_00000126,sub_0000054,2026-01-08 21:30:37,charge,1.0,succeeded,24.95,0.0,0.0,0.0,24.95,2026-01-09 06:00:00
bill_00000128,sub_0000056,2026-01-08 22:25:50,charge,1.0,failed,24.95,0.0,0.0,0.0,0.0,2026-01-09 06:00:00
bill_00000129,sub_0000006,2026-01-08 22:27:00,charge,1.0,succeeded,24.95,0.0,0.0,0.0,24.95,2026-01-09 06:00:00
bill_00000130,sub_0000020,2026-01-08 22:38:20,charge,1.0,failed,24.95,0.0,0.0,0.0,0.0,2026-01-09 06:00:00
bill_00000131,sub_0015833,2026-01-08 22:43:49,charge,1.0,succeeded,34.95,3.5,0.0,0.0,31.45,2026-01-09 06:00:00
bill_00000132,sub_0000026,2026-01-08 23:17:31,charge,1.0,succeeded,24.95,0.0,0.0,0.0,24.95,2026-01-09 06:00:00
bill_00000137,sub_0000039,2026-01-08 23:31:15,charge,1.0,succeeded,24.95,2.5,0.0,0.0,22.45,2026-01-09 06:00:00
bill_00000145,sub_0000108,2026-01-09 08:00:50,charge,1.0,succeeded,24.95,2.5,0.0,0.0,22.45,2026-01-10 06:00:00
bill_00000151,sub_0000132,2026-01-09 08:06:59,charge,1.0,succeeded,24.95,0.0,0.0,0.0,24.95,2026-01-10 06:00:00
bill_00000157,sub_0000110,2026-01-09 08:19:08,charge,1.0,succeeded,24.95,0.0,0.0,0.0,24.95,2026-01-10 06:00:00
bill_00000161,sub_0000128,2026-01-09 08:28:32,charge,1.0,failed,34.95,0.0,0.0,0.0,0.0,2026-01-10 06:00:00
bill_00000162,sub_0000140,2026-01-09 08:44:41,charge,1.0,failed,24.95,0.0,0.0,0.0,0.0,2026-01-10 06:00:00
bill_00000163,sub_0000104,2026-01-09 09:06:23,charge,1.0,succeeded,34.95,0.0,0.0,0.0,34.95,2026-01-10 06:00:00
bill_00000170,sub_0000096,2026-01-09 09:09:35,charge,1.0,succeeded,34.95,0.0,0.0,0.0,34.95,2026-01-10 06:00:00
bill_00000178,sub_0000109,2026-01-09 09:59:17,charge,1.0,succeeded,24.95,0.0,0.0,0.0,24.95,2026-01-10 06:00:00
bill_00000184,sub_0000143,2026-01-09 11:43:30,charge,1.0,failed,34.95,0.0,0.0,0.0,0.0,2026-01-10 06:00:00
bill_00000185,sub_0000085,2026-01-09 12:53:55,charge,1.0,succeeded,24.95,0.0,0.0,0.0,24.95,2026-01-10 06:00:00
bill_00000188,sub_0000134,2026-01-09 13:35:02,charge,1.0,succeeded,24.95,0.0,0.0,0.0,24.95,2026-01-10 06:00:00
bill_00000190,sub_0000089,2026-01-09 14:17:42,charge,1.0,succeeded,24.95,0.0,0.0,0.0,24.95,2026-01-10 06:00:00
bill_00000193,sub_0000099,2026-01-09 14:45:38,charge,1.0,succeeded,34.95,0.0,0.0,0.0,34.95,2026-01-10 06:00:00
bill_00000200,sub_0000142,2026-01-09 15:03:41,charge,1.0,succeeded,24.95,0.0,0.0,0.0,24.95,2026-01-10 06:00:00
bill_00000201,sub_0000088,2026-01-09 15:04:44,charge,1.0,succeeded,24.95,0.0,0.0,0.0,24.95,2026-01-10 06:00:00
bill_00000208,sub_0000119,2026-01-09 16:02:22,charge,1.0,succeeded,34.95,0.0,0.0,0.0,34.95,2026-01-10 06:00:00
bill_00000210,sub_0000136,2026-01-09 16:18:17,charge,1.0,failed,34.95,0.0,0.0,0.0,0.0,2026-01-10 06:00:00
bill_00000211,sub_0000111,2026-01-09 18:36:25,charge,1.0,succeeded,24.95,0.0,0.0,0.0,24.95,2026-01-10 06:00:00
bill_00000218,sub_0000101,2026-01-09 18:37:59,charge,1.0,succeeded,24.95,0.0,0.0,0.0,24.95,2026-01-10 06:00:00
bill_00000226,sub_0000116,2026-01-09 19:10:32,charge,1.0,failed,34.95,0.0,0.0,0.0,0.0,2026-01-10 06:00:00
bill_00000227,sub_0015835,2026-01-09 19:41:00,charge,1.0,failed,34.95,0.0,0.0,0.0,0.0,2026-01-10 06:00:00
bill_00000228,sub_0000115,2026-01-09 19:43:14,charge,1.0,succeeded,34.95,3.5,0.0,0.0,31.45,2026-01-10 06:00:00
bill_00000230,sub_0000120,2026-01-09 20:27:15,charge,1.0,succeeded,24.95,0.0,0.0,0.0,24.95,2026-01-10 06:00:00
bill_00000233,sub_0000093,2026-01-09 20:40:23,charge,1.0,failed,24.95,0.0,0.0,0.0,0.0,2026-01-10 06:00:00
bill_00000234,sub_0000117,2026-01-09 21:20:41,charge,1.0,succeeded,24.95,0.0,0.0,0.0,24.95,2026-01-10 06:00:00
bill_00000235,sub_0000125,2026-01-09 21:44:48,charge,1.0,succeeded,24.95,0.0,0.0,0.0,24.95,2026-01-10 06:00:00
bill_00000244,sub_0000100,2026-01-09 22:13:25,charge,1.0,failed,24.95,0.0,0.0,0.0,0.0,2026-01-10 06:00:00
bill_00000252,sub_0000118,2026-01-09 22:28:35,charge,1.0,succeeded,24.95,0.0,0.0,0.0,24.95,2026-01-10 06:00:00
bill_00000254,sub_0000092,2026-01-09 22:53:02,charge,1.0,succeeded,34.95,0.0,0.0,0.0,34.95,2026-01-10 06:00:00
bill_00000261,sub_0000105,2026-01-09 23:24:46,charge,1.0,succeeded,24.95,2.5,0.0,0.0,22.45,2026-01-10 06:00:00
bill_00000265,sub_0000083,2026-01-09 23:52:47,charge,1.0,succeeded,24.95,0.0,0.0,0.0,24.95,2026-01-10 06:00:00
bill_00000272,sub_0000146,2026-01-10 07:42:05,charge,1.0,succeeded,24.95,0.0,0.0,0.0,24.95,2026-01-11 06:00:00
bill_00000279,sub_0000182,2026-01-10 07:50:14,charge,1.0,succeeded,24.95,0.0,0.0,0.0,24.95,2026-01-11 06:00:00
bill_00000286,sub_0000167,2026-01-10 09:14:19,charge,1.0,succeeded,24.95,0.0,0.0,0.0,24.95,2026-01-11 06:00:00
bill_00000287,sub_0000203,2026-01-10 09:17:28,charge,1.0,succeeded,24.95,0.0,0.0,0.0,24.95,2026-01-11 06:00:00
bill_00000290,sub_0000185,2026-01-10 09:18:24,charge,1.0,succeeded,24.95,2.5,0.0,0.0,22.45,2026-01-11 06:00:00
bill_00000297,sub_0000191,2026-01-10 09:28:17,charge,1.0,succeeded,34.95,0.0,0.0,0.0,34.95,2026-01-11 06:00:00
bill_00000304,sub_0000189,2026-01-10 09:46:12,charge,1.0,succeeded,24.95,0.0,0.0,0.0,24.95,2026-01-11 06:00:00
bill_00000311,sub_0000159,2026-01-10 10:53:11,charge,1.0,succeeded,34.95,0.0,0.0,0.0,34.95,2026-01-11 06:00:00
bill_00000313,sub_0000201,2026-01-10 11:11:54,charge,1.0,failed,34.95,0.0,0.0,0.0,0.0,2026-01-11 06:00:00
bill_00000314,sub_0000177,2026-01-10 12:28:24,charge,1.0,succeeded,34.95,0.0,0.0,0.0,34.95,2026-01-11 06:00:00
bill_00000321,sub_0000202,2026-01-10 12:47:44,charge,1.0,succeeded,24.95,0.0,0.0,0.0,24.95,2026-01-11 06:00:00
bill_00000326,sub_0000157,2026-01-10 13:20:37,charge,1.0,failed,24.95,0.0,0.0,0.0,0.0,2026-01-11 06:00:00
bill_00000327,sub_0000190,2026-01-10 14:41:19,charge,1.0,succeeded,24.95,0.0,0.0,0.0,24.95,2026-01-11 06:00:00
bill_00000331,sub_0000210,2026-01-10 14:49:01,charge,1.0,succeeded,24.95,0.0,0.0,0.0,24.95,2026-01-11 06:00:00
bill_00000334,sub_0000193,2026-01-10 15:08:40,charge,1.0,succeeded,24.95,0.0,0.0,0.0,24.95,2026-01-11 06:00:00
bill_00000336,sub_0000173,2026-01-10 15:54:01,charge,1.0,succeeded,24.95,0.0,0.0,0.0,24.95,2026-01-11 06:00:00
bill_00000340,sub_0000188,2026-01-10 16:02:22,charge,1.0,succeeded,24.95,0.0,0.0,0.0,24.95,2026-01-11 06:00:00
bill_00000347,sub_0000176,2026-01-10 16:10:57,charge,1.0,succeeded,24.95,0.0,0.0,0.0,24.95,2026-01-11 06:00:00
bill_00000354,sub_0000158,2026-01-10 16:25:40,charge,1.0,succeeded,34.95,0.0,0.0,0.0,34.95,2026-01-11 06:00:00
bill_00000358,sub_0000183,2026-01-10 16:42:31,charge,1.0,succeeded,24.95,0.0,0.0,0.0,24.95,2026-01-11 06:00:00
bill_00000361,sub_0000186,2026-01-10 17:03:32,charge,1.0,failed,24.95,0.0,0.0,0.0,0.0,2026-01-11 06:00:00
bill_00000362,sub_0000178,2026-01-10 17:29:36,charge,1.0,succeeded,24.95,0.0,0.0,0.0,24.95,2026-01-11 06:00:00
bill_00000365,sub_0000195,2026-01-10 17:37:30,charge,1.0,succeeded,24.95,0.0,0.0,0.0,24.95,2026-01-11 06:00:00
bill_00000371,sub_0000161,2026-01-10 17:42:52,charge,1.0,succeeded,24.95,0.0,0.0,0.0,24.95,2026-01-11 06:00:00
